fraudulent,description
f,"thinkdigital, one of the leading digital marketing companies in ce se europe, is looking for a content strategist that will join its specialized creative studio in athens. the content strategist uses consumer insights to identify, structure and manage engaging and contextually appropriate brand endorsed content that users find valuable and brands effective. the successful candidate will be working along a team of strategists, designers and developers across thinkdigital’s multi-channel portfolio of local and international partners such as facebook, skype, msn. "
f,"we are currently recruiting for an promotional staff role. we are looking for someone with a passion for sales, beauty and fragrance who is enthusiastic and driven. the ideal candidates will have the ability to demonstrate a fresh approach to sales and be able to work in a fast paced and versatile environment. if you are looking to build your career in beauty, promotional work, sales and customer service apply now. the role would suit anyone with the following experience: * great communication skills * positive attitude * be able to hit targets and achieve goals * be able to work in a customer facing role * the ability to build and maintain strong relationships with clients and customers * beauty training or make up artisty * fragrance or cosmetic counter experience full product training will be available to all successful candidates."
f,"we are looking for a talented individual to work as a systems engineer in our it services group. you will be involved with the various facets of healthlink’s software and hardware operational systems: configuring, deploying, monitoring, and maintaining the internal and external it services. primarily, you will be supporting a mixture of in-house and third-party applications used in secure messaging solutions as well as assisting with the support of the associated infrastructure. effective communication within the its team and other internal teams and with external customers will be essential."
f,"bletchley is a design-focused engineering-led companybuilding software for the web and mobile. we're a dozen person team of product designers and developersspanning the united states, with a few outliers in oaxaca, chiang mai and pakistan. remote collaboration is built into our company dna. we have a low-bullshit, minimal-meetings environmentwhere you're judged by the quality of your work and not by how well you play office politics. you'd bebuilding software for clients like samsung, ca and the center for public broadcasting with smart, nice people, most of whom have worked together for years. we're looking for a qa engineer - someone to become an expert in the projects we are building, work in a close planning loop with our project managers, and collaborate as an equal with our software engineers. this position would initially be 20-30 hours a week contract, with a possibility to grow quickly to full-time work."
f,"desired skills experience designation: store managerexperience: minimum 5 years in premium retail experiencelocation: bellevue, waqualification: bachelor’s degree - professional, energetic, positive and passionate about photography. - strong business - operation skills - traditional and digital marketing skills. - leadership skills - must be organized and detail oriented - excellent written and verbal communication skills - strong interpersonal skills - strong in building and maintaining positive relationships and able to communicate at all levels - selling and marketing skills. - development of marketing strategy for the store - inventory management- managing vip relationships- familiarity and ease with digital photography computer skills- pc/mac- ms office suite- pos systems- adobe photoshop and lightroom- knowledge of website maintenance for: us citizen/ ead/ green card candidates only."
f,"tech stack full-stack coding in ruby and javascript agile environment tdd pair programming 85% of the time a typical day for a socialchorus dev consists of integrating with various social networks and writing new features for the product. we believe in writing good quality code and a stable product. our team we are a close-knit team of 10 devs who love what we do. everyone is ambitious and is excited to come to work everyday. the company and the team believe that one should always be learning. we do this by: contributing to open source pair programming, which creates a learning environment going to conferences and courses in and out of the bay area having people come in who can contribute to the team, i.e. sandi metz "
f,"entry-level management–train to manager role in the growing firm!ny marketing firm, located in the trump building on wall street, is looking for competitive individuals with a ""winning mind-set"" and ""entrepreneur spirit"" to fill entry level management position in our office. the right individual will thrive in a fast paced professional environment and find motivation and fulfillment in the exciting challenges of a growing company.we have recently acquired new clients and now represent fortune 500 companies.our goal is to promote and maintain a positive, fun and professional atmosphere while developing the leadership qualities in our marketing managers.job requirements:· some college or degree preferred· exceptional interpersonal skills· student mentality and attitude· leadership potential· experience in retail, sales, advertising marketing is a plus· ability to work in a high energy environment· computer skillsthis position is full-time and it involves responsibilities in:· executing merchandising and operational functions to company standards· participating in the product knowledge training alongside management· assisting customers with any questions they may have in regards to our clients’ products· gaining knowledge on all new clients the company acquires· entry level marketing and sales management· organization, time management, leadership and training as a mangerwe need goal oriented team members who have the entrepreneurial mind set to contribute to our growth.paid training provided -growth opportunitiesare available for those who qualify.apply now by submitting your resume!"
f,"someone with a passion for web development, ui design, producing high quality code and wowing clients at every opportunity. we are looking to recruit a bright, enthusiastic front-end web developer to work with us in our pune based team. we would be interested in talking to anyone that has at least 2 years experience. at raising it you’ll be working with products that are used by thousands of users that people rely on every single day. you’ll be working with some of the best designers and developers in the industry."
f,"crest financial is a fun, energetic, successful, established finance, and marketing company that is rapidly growing located in salt lake city, utah. we have been conducting business since 2005 across the nation in 46 states. our work environment is casual, employee centered, professional, and very comfortable, with an open door policy. we love to work hard and play hard too. here at crest financial we strive to provide the best environment and benefits for our employees. which include paid holidays, growth opportunities, raises, monthly incentives, bonuses, commissions, and medical/dental benefits for full time employees. if this sounds like a company you would like to work with and grow with our team then please take a moment to review our open position below. crest is looking for motivated, hard working, sales oriented individual to join a fast-growing company. this position will be calling our paid in full customers to solicit return business. *this is not cold calling-very warm calls* there is an unlimited amount of potential for growth with a competitive base pay plus commissions earned on sales. we have a fun, relaxed workplace, and want outgoing positive individuals who are interested in both gaining valuable experience and sharing creative ideas."
f,"we are looking for an account manager to work with one of our amazing wine and spirits clients, so bonus points if you have that experience in your background. we are looking forward to your application! general overview: the account manager position at traffikgroup is based on day to day client management and client business management. the role is focused on building, executing and delivering exceptional integrated marketing programs for clients, with the responsibilities including implementation of marketing communications initiatives, with accountability for client management, budget management and project management. the account management role is the primary client management role in the organization and success will be shown in being attentive to client needs by providing honest recommendations and work with the focus on what traffik needs to deliver to meet client needs. the role will be responsible to produce measurable business results for our clients and for traffik, by meeting client project and business goals, and delivering on traffik's financial and client management plans. this role will be a developmental and management role in which there may be people management responsibility in managing an account coordinator(s) or account executive(s). this role will also be the primary internal contact for integration with the internal traffikgroup team's including production, studio, leadership and financial. this role is a developmental role, with the long term goal of becoming an account supervisor. responsibilities: client lead on programs, communication and client management program development and management project manager and lead ability to manage multiple client budgets and monthly contributions client communication on the overall business management and growth program budget development and management producing measurable business results for our clients and traffik client management on multiple projects and development supplier management delivering on-time and on-budget logistics management, work back schedule development ability to develop ideas and lead client ideation process and development managing in brainstorming sessions, idea generation management of resources (internal and external team) working with creative team and in creative process ability to add value to the traffik culture to develop the culture + people "
f,"as a qa engineer, you will be responsible for leading the quality assurance of our platform in every conceivable way. we’re looking for a person with at least 3 years relevant experience in the field."
f,"we are a self-funded startup based in cambridge, ma developing smart, connected consumer electronics. founder’s include a serial entrepreneur who’s last exit was to   and a corporate leader with a track record of bringing new products to market. we are looking for an embedded software / firmware engineer. the initial position will be part-time with the expectation that the candidate will accept a full-time role within the organization after a short trial period. objective design and develop firmware. work with embedded hardware and software engineers. "
f,"greetings from vam systems….. vam systemsis a business consulting, it solutions and servicescompany with operations in uae, qatar, bahrain, usa, australia, singapore india. we offers a comprehensive list of services in the field of it infrastructure management, cloud services, it consulting services, banking, management resources, information technology development, telecom, aviation, retail management government offerings. vam systems is currently looking for j2ee developer for our bahrain operations . experience required: 3 to 5years. terms and conditions: joining time frame: 2 weeks (maximum 1 month) the selected candidates shall join vam systems – bahrain and shall be deputed to one of the leading organizations in bahrain. "
f,"we're fly victor,and we're revolutionising the private jet market. think airbnb for private jets; we're creating the marketplace that connects operators of aircraft to our members who want to fly them,and allowing them to be purchased as a whole aircraft or by seat. we've just raised £5m to take our initial application to a global scale,and you might have seen us in the guardian,telegraph,ft or on bloomberg recently. who are we? we're a small and growing agile team. as a team we aspire to the hacker culture. we care about what we do. we want to produce simple, elegant solutions to difficult problems. we take pride in getting the job done right. we want to improve as individuals and improve the team and wider organisation around us. we use modern technologies, tools and methods to produce a product that our customers love. we want our applications to be ubiquitous; any time someone is booking a jet they'll be using the victor platform.we choose the best tools for the job and right now that's mostly node and angular, with mongodb. we have a smattering of python, and a .net application that's slowly being retired."
f,"about the role intercom ( ) is a young, fast-paced and rapidly-growing tech startup based in san francisco, california. founded in 2011, we’ve now got an engineering and design base of about 35 people in dublin. we expect that number to more than triple in 2014, and we are already expanding at a rate of 5+ per month in dublin alone! we need a talent manager to take deep pride in streamlining and implementing our onboarding process and long-term hr, making sure that recent hires are adjusting well, and that seasoned veterans are increasingly happy with their place in our company. our talent manager will have an active hand in every part of the hiring process. thisrole will evolve as we build out an in-house recruiting and hr team, and as we grow our company. core responsibilities will include: working with recruiting team to develop and implement a highly personal and professional onboarding process, continuously soliciting feedback from new hires, and thinking about how to improve the cycle, from outreach to anniversaries, coordinating first-day activities for new hires, communicating with the team to make sure the welcoming process is warm and seamless, working with recruiting coordinator to make sure that the process between contract execution and first day moves along swiftly and smoothly, and that everything is ready to go in advance, helping to integrate new hires into the team and familiarize them with our culture before day 1. "
f,"do you want to change how the next generation of women (and men) navigate the work world? levo league provides its growing and fanatically loyal user base with a platform that helps them elevate their careers and connects them with the jobs, content, with each other and mentors like warren buffett and sheryl sandberg. are you a hard working superstar with analytical chops, a deep empathetic understanding of user experience, and the ability to learn new skills and practices on the fly? good at design, writing, comfortable with basic html/css, sql, and fantastic at quickly mastering new technologies? levo is looking for a a product manager to own and create the digital products that our users interact with to find jobs, events, each other, mentors, and the guides and assessment tests to improve their career. you’ll work on web pages, mobile first, and installed mobile apps. because levo has a huge live component, you’ll have the ability to test your prototypes with actual users, and see the impact your work has already made on their careers. what you’ll do: analyze user data, business requirements from multiple and sometimes conflicting stakeholders and transform them into usable and elegant product specifications collaborate with ui/ux designers, coders, and business leads on product flows and designs build, test, and prototype with real, live users in our monthly prototyping sessions research at scale with digital ux testing and optimization solutions write detailed user stories, identify edge cases, and work with the development team to roll out features in an agile, continuous deployment environment launch products that delight our demanding user base analyze the success of your product, iterate, improve, analyze, iterate "
f,"just in case this is the first time you’ve visited our website vend is an award winning web based point of sale software for retail. we’re chucking out crusty old cash registers and replacing them with ipads, touch screens and beautiful software, all of this to make life easier for our retailers. vend is a fast-growing tech start-up, since launching in 2010 we’ve now got 10,000+ customers and 650 partners all over the world with more than 170 employees shared between our auckland, melbourne, toronto, berlin, london san francisco offices. one of our most successful services has been our premium support, managed by our wonderful customer success managers who all have extensive backgrounds in retail and store management. premium support is an additional service that supports the customer throughout on-boarding, gives training and offers ongoing support as and when needed.our csm's are successful because they know exactly what our customers want and need and are able to deliver on that. they speak retail and by taking the time to understand our customers businesses they help to make them more successful. this is a great opportunity for someone who loves retail, has a natural affinity with technology and wants to step up into a new and exciting challenge with a global software company revolutionising retail. this role in particular will be looking after our largest customers. you'll be managing their implementation, scheduling and offering support above and beyond their wildest dreams."
f,due to government funding you must be 16-18 years old to apply for this position. perfect role for school leavers. this is a fantatsic opportunity for those looking to start their career in retail. during the first 12 months you will work towards a level 2 retail nvq and then be kept on in a permanent posiiton. you will be working in a garden centre and the role will involve: -assisting in the plant and outside areas -watering and tidying plants -assisting cusotmers with any enquiries -recieving full training in horticulture ideal candidates will have excellent communication skills and will be a team player. if you are motivated and career minded please apply now.
f,"are you a professional, detailed, multi-tasker who is wonderful with patients? crossroads treatment centers is seeking a full-time counselor for our seneca location! responsibilities: completing assessments, itp's, progress notes and other necessary paperwork associated with managing a caseload of 50 patients. providing individual and group counseling using evidence based practices. assisting patients with defining and achieving realistic goals. conducting monthly urinalysis screenings. providing crisis interventions as needed. assisting in peer-to-peer record audits. ensuring patient confidentiality. providing supportive counseling in conjunction with medical and nursing services. contributing to the ongoing assessment and treatment planning process through participation in daily reports, case reviews, and treatment team meetings. "
f,position title: planning assistantlocation: karachisector: educationcompany type: prestigious university -- with mostly foreign-educated facultysalary: rs. 45k to 70k -- may vary
f,"the company marketinvoice is one of the country’s most high-profile fin-tech companies. the company is europe’s leading p2p invoice finance platform, allowing smes to quickly and flexibly sell their invoices, releasing critical working capital in the process. our mission at marketinvoice is to modernise the way in which smes finance their working capital and fund their growth. we are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street. based in our holborn office, you will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance. at marketinvoice you will have a meaningful impact on the company's future work in a fun, dynamic environment that has innovation at its core be part of a motivated team and work with people who get stuff done the role the successful candidate will be responsible for building commercial partnerships in the south, driving new business and lead flow through the marketinvoice sales team. this person will be well connected and versed in the commercial finance and advisory space, a polished communicator and hungry to make a big impact within a growing, disruptive finance business. duties responsibilities partner acquisition strategy: help devise and execute a near-medium term strategy for growing marketinvoice’s partner sales channel. drive new business: build a network of engaged partners across the uk, ensuring that they are referring a significant flow of inbound leads on a monthly basis. utilise your prior industry experience and contacts to ensure our product and processes are well understood amongst the relevant stakeholder groups. stakeholder management/retention: nurture relationships with existing and new partners that come on board. ensure marketinvoice is front of mind and keep them updated on new products and features. work closely with the sales team at all times to ensure brokers are kept up to date on the businesses they have introduced. partner marketing pr: work with the marketing and pr team to design and execute effective campaigns targeted at the specific partner verticals. events presentations: be the marketinvoice spokesperson and representative at relevant industry events. these will include presentations, talks, round tables and panel discussions. "
f,"are you well organized, flexible and enjoy the administrative challenges of supporting a high-growth start-up company? if so, we are looking for an executive administrative assistant experienced in handling a wide range administrative and executive support related tasks for the ceo and the vp of operations in a temporary to permanent position. some of the tasks include but not limited to scheduling and coordinating group meetings, creating agendas, developing and maintaining filing systems, making travel arrangements, preparing and altering communications, including written and visual presentations, screening telephone calls and visitors, processing expense reports, reviewing all mail and noting action items/deadlines, handing/routing correspondence, monitoring office supplies and reordering as needed and maintaining department budget. responsibilities act as the point of contact between the manager and internal/external clients screen and direct phone calls and distribute correspondence handle requests and queries appropriately manage and schedule meetings and appointments make travel arrangements take dictation and minutes source office supplies produce reports, presentations and briefs devise and maintain office filing system "
f,"we are looking to recruit ""personal assistants"" to complement our existing staff team in edinburgh who support vulnerable adults living in their own homes. you would work and learn from our experienced team of nurses, social workers, ot, physio and pharmacists. be part of company who makes a real difference to people lives. your job would include: providing individual care and support to people in their own homes. this may include cleaning, washing and dressing, providing meals and maintaining community links. you may also assist people with continence promotion, catheter care, stoma care, peg feeding, administering medication, oral health and moving and assisting. you will be expected to maintain personal files and act as a key worker to service users. "
f,"common purpose, uncommon opportunity. everyone at visa works with one goal in mind – making sure that visa is the best way to pay and be paid, for everyone everywhere . this is our global vision and thecommon purposethat unites the entire visa team. as a global payments technology company, tech is at the heart of what we do: our visanet network processes over 13,000 transactions per second for people and businesses around the world, enabling them to use digital currency instead of cash and checks. we are also global advocates for financial inclusion, working with partners around the world to help those who lack access to financial services join the global economy. visa’s sponsorships, including the olympics and fifa™ world cup, celebrate teamwork, diversity, and excellence throughout the world. if you have a passion to make a difference in the lives of people around the world, visa offers anuncommon opportunityto build a strong, thriving career. visa is fueled by our team of talented employees who continuously raise the bar on delivering the convenience and security of digital currency to people all over the world. join our team and find out how visa is everywhere you want to be."
f,"tidewater finance company, located in virginia beach, va has full and part-time positions available for contact center representatives. we provide diverse lending solutions for our dealer network while promoting employee integrity, teamwork and an uncompromised level of customer service. the position requires the following qualifications: a minimum of 1 year in a call center environment or equivalent customer service experience collections experience a plus! ability to communicate effectively and professionally both verbally and in writing proficient typing skills must be able to work late nights and saturdays as scheduled by management automatic dialer experience a plus strong negotiation skills bilingual in spanish is a plus! primary responsibilities include, but are not limited to the following: make and receive calls through automated dialer take payments on past due accounts handle customer service related issues process related paperwork adherence to company policies and procedures in addition to compliance of state and federal regulations we offer a competitive salary based on experience and a comprehensive benefits package. interested candidates may apply in person at: 6520 indian river road virginia beach, va 23464 if you prefer you may submit your resume via e-mail to email_169ac3804e2da6e0514e5ef76c29f157f41d80451b486889d9aaphone_4dbd33c1dede3cec472e02df8f201e27aa330a9a201578720111c840de9d8117 or fax your resume to the human resources department at phone_8f86665c8a76d925f761287bb38d6bb5f440845f2a5fa712361f255943a8b21b. tidewater finance company is an equal opportunity employer in all aspects of employment without regard to race, age, sex, marital status, religion, disability, military status or any other characteristic or status protected by law. tidewater finance company includes tidewater motor credit and tidewater credit services."
f,"kettle is hiring an art director! job location: new york, ny kettle is a growing digital agency focused on finding great people to deliver fantastic interactive products. we are a passionate, fearless, multi-disciplinary team advocating for users to the benefit of our clients. based in the heart of soho, we work in an open, collaborative, creative environment. our clients include leading brands and digital innovators such as american express, sesame street, mcgraw-hill, the new museum, penguin, and many more. check out our website for a selection of recent work. we are looking to hire a new art director with a portfolio that combines strong web/app interface design and exemplary branding work. your responsibilities as art director include: create differentiating, on-brand design solutions (branding, web design, mobile application design). maintain kettle's quality and tone in all deliverables (from designs to final builds). present your work internally and to clients with the ability to articulately explain and defend design decisions. manage multiple projects simultaneously. stay on top of best-of-breed designs and technologies. additionally, the appropriate candidate must: be passionate about clean and functional design, responsive layouts, usability standards, and web technologies. have a portfolio demonstrating a solid understanding of ux/ui best practices with a focus on interface and web applicationdesign.branding experience is a plus. have at least four years professional digital design experience. be well organized, detail oriented and a problem solver. be positive and a team player. have proficiency in adobe photoshop and adobe illustrator. have an understanding of modern html css, jquery, illustration and video/animation. more info: candidate must be able to work onsite in our soho office, and be a us citizen or have a work permit. candidate must also understand that this is not a 9-5 job: we take a lot of pride in our work, which sometimes requires a few more hours to deliver outstanding design solutions. but we make the work environment fun and enjoyable. please make sure to include a link to your online portfolio."
f,"transifex, a greek-born company internationally recognized as one of the leading companies in the globalization industry, is seeking to hire a passionate and responsible person to lead its accounting and office management activities in its european office in athens. transifex builds a modern translation platform for tech companies going global such as intel, nokia, atlassian, coursera and bitcoin. transifex has offices in patras, athens and california. it has been recognized publicly by a former greek prime minister, as one of the most innovative greek companies. responsibilities our internal operations team is focused on creating a great environment for the people working at transifex which, in turn, has an impact on how successful our product and company are. we celebrate communication, appreciation and excellence between our team members and strive to provide a great workplace. the office manager in athens will be responsible for overseeing all efforts related to providing a work home which is open, supportive, creative and inspiring. your job is to keep us organized, prioritized and productive while we continue to grow. this role requires superior attention to detail, the ability to meet deadlines, great organizational skills, and the ability to juggle multiple requests. as part of the team you will have the chance to work in a fast-paced and exciting environment and experience first-hand what it feels like to work in a start-up company. we are looking for a person that get things done and is not afraid to take initiatives. as a small team, we typically wear many hats. in the beginning, your responsibilities will include office management. with time, we expect to hire someone else to help/manage the office-related tasks. at that point, you will focus mostly on accounting and financials. accounting: work with our greece accounting office to assist with invoices, expense reports, payroll processing, setup of new employee paperwork. interact with our us accountant controller and support in the consolidation of our financials across entities.convert greece financials to us gaap. general, administrative: office management and administrative support including welcoming guests, answering the door/phone, managing mail help plan internal and external events such as arranging travel, meetings and appointments.manage the office calendar and coordination of the day to day activities of the office. coordinate greece team events with the ones of our international team. manage overall office supply budget.payment of bills, suppliers etc. team calendar management general hr: compose a job description, post a job opening, prescreen candidates, schedule interviews, and on-board a new hire. space and culture: be friendly,social and like the idea of planning outings and get togethers. nurture and grow our local transifex culture.maintain a space that is inspiring and productive.discuss problems with staff. organize team and marketing events: team lunch, small hackathons at the office, open office, and so on. take care of theoffice decor and equipment, food and all facets of employee experience.source vendors venues for events.organize events materials supplies inventory. review and implement the company's health and safety policy. useful notes:tips on getting your resumé read. resumés in english please."
f,"** no recruitment agencies please ** acknowledgement helps brands and organisations achieve their ambitions through digital innovation and digital transformation. we combine business insight and analysis, original creative thinking, first class user centric design and technology implementation, marketing services and 24/7/365 technical operational capability to create robust, innovative and cost effective solutions that deliver significant business results for our clients. you can find out more about us on our website   about the role the project coordinator is responsible for assisting the more senior members of the project management solutions team in the day to day running of complex transformational projects. you will also run your own smaller projects. these projects will be a mixture of internal and client facing work. this role is a great stepping stone for someone looking to build a long term career in project management. "
f,"about embarke embarke increases email opens and clicks by 5-20%...automatically. we've built awesome technologies that give marketers an increase in revenue, and consumers a better email marketing experience. our customers are email marketers with at least 100,000 users and our biggest customers have over a million users. we’re techstars + microsoft accelerator graduates, we’re funded, have great benefits, a kegerator, and a 5000 sqft collaborative work environment with great views of downtown san diego. about the role our customers are email marketers with at least 100,000 users and our biggest customers have over a million users. we need a graphic design intern to help us creatively attract our target customers' attention. we have a small but extremely impactful team. we solve problems aggressively, learn a ton along the way, and have a lot of fun doing it. you will: use creativity in how to display data in charts (for blog posts, marketing emails, white papers, customer support documentation) design landing pages contribute design elements to a/b tests create marketing collateral (email, online, and pdf) design templates for powerpoint presentations this is a part-time, paid role. pay range is $10/hr-$15/hr, depending on experience."
f,"we call our customer service positions on the front-line interpreting service relations specialists who ensure quality delivery and optimal accessibility to csd sign language interpreting and other services.the job ensures 100% uptime service coverage in our minnesotta interpreting service relations center, responding to inquiriesby phone/video phone, faxes, texta, chats, email and web media.this position coordinates high-touch service interactions with our client contacts, agences, service providers and consumer end users by coordinating interpreter assignments, fulfilling service requests and resolving issues while promoting csd as the premier service provider in the markets we serve."
f,"requirements: candidate must possess at least a bachelor's/college degree , advertising/media, art/design/creative multimedia or equivalent.must have an experience ininfographic designmust be knowledgeable in the ff application: adobe illustrator photoshop dreamweaver or any text editing program capable of creating design concepts for web sites and corporate identity (logo) even with limited information from client. proficient in spoken and written english must be capable of css coding and wordpress fluent / clear english speaking skills (native english speaker who attended us school preferred) hand illustrations, infographic experience (wireframing, illustrations / images, eye for user flow) quick and responsive - can finish at least 5 projects per month. "
f,"account executive department:project x we are looking for: adstruc seeks entrepreneurial-minded and experienced account managers to plan and implement outdoor advertising campaigns for clients of project x, adstruc’s recently launched ooh planning and buying agency. responsibilities: build key customer relationships among agencies, advertisers and media owners manage and provide client service for new and existing clients including: planning ooh campaigns, negotiating schedules and rates, managing creative and print deliverables, create client presentations, and post buy analysis utilize the adstruc platform to efficiently provide clients with advanced planning data and campaign recommendations gather/organize user feedback and then work with adstruc’s product team to implement new or improved features we are: adstruc is the leading workflow management solution to plan and buy outdoor advertising. with hundreds of national and local vendor partners and a suite of comprehensive tools, adstruc enables media buyers to streamline their processes, automate routine tasks, and efficiently execute ooh campaigns, all in a unified interface. our entire team is based in soho and we are backed by some of the biggest names in venture capital, including dfj, rre, softtech, founder collective and more."
f,"responsible for all bookkeeping functions for a 501(c)(3) non-profit health human services agency caring for families since 1983. responsibilities included but are not limited toa/r, a/p bank reconciliations, monthly/quarterly/annual reports/financial statements. payment of all invoices. assist with all events and maintain/ordering office/program supplies."
f,"qubit: cutting edge big data engineering qubit are currently seeking an web developer to help provide support to our marketing team in our new york office.you’ll be working on the qubit products website as well as building fully functioning demo sites to help prospective clients realise the potential of qubit apps. this is an excellent and exciting opportunity for a new graduate or someone in the early stages of their career. you’ll be joining a team packed with top technical talent who will help with your development. qubit is experiencing a very exciting period of growth, and this is a chance to join the team early. what you’ll be doing developing   under the direction of our marketing and experienced development teams using the latest js frameworks such as   creating compelling demos of our products liaising with all parts of the business to gather requirements and execute on our shared vision "
f,"due to an increase in growth and overall business, a top client of ours has an immediate openings for an experienced:maintenance supervisorthe position is located is located it the green bay, wi area. relocation is available for this role. we are seeking highly qualified maintenance professional, with specific experience working within a manufacturing environment. applicantshould have experience with boilers, lathes, mills, blasters, burners, electrical and hydraulic systems. additionally, applicants should have several years of plc experience. a strong and steady work history, with a proven track record of handling increased responsibilities is a must."
f,"we are looking for amazing digital designer to join us at blippar, new york offices and create assets used to produce amazing augmented reality experiences. this role has come about due to high volumes of work on our team in the us and we are looking for someone who can hit the ground running creating 2d assets for client work. reporting to the lead creative in new york, you will work with some of the world’s largest and most forward-thinking brands across us wide campaigns. you will support the permanent team by building assets and creatives needed for a variety of projects. from creating mobile games to working on advertising campaigns, your primary role will be to design blipps and there assets for clients wishing to use blippar’s amazing potential as an advertising platform."
f,"a growing $140 million dollar wholesale distributor based in los angeles has an opening for a sr. systems administrator. the sr. systems administrator’s role is to ensure the stability, integrity, and efficient operation of the in-house it that supports core organizational functions. this is achieved by monitoring, maintaining, supporting, and optimizing all networked software and associated operating systems. the sr. systems administrator will apply proven communication, analytical, and problem-solving skills to help identify, communicate, and resolve issues in order to minimize downtime and maximize the availability of it systems."
f,"intellibright is growing fast and we need your help to keep the pace. want to work for a company you can really believe in? want to be part of the team that forged a company that changed its industry? we guarantee our service pays for itself in 3 months or it's free until we prove it does! how easy is that to sell??? what you’ll get from us: rockstar? if yes, there could be some equity in your future… paid – well! intelligent, friendly co-workers a chance to develop a strong portfolio of work an environment where your input really matters as a company that is a capital factory darling you’ll get: work in a highly-collaborative environment daily meet-ups and events access to pre-release major movie screenings exposure to mentors, experts, vc, brilliant peeps fully stocked kitchen, 1-2 weekly free lunch/breakfast rooftop pool and on-site gym friday happy hours access to special events "
f,"ifat group is a leading israeli company supplying analyized and processed information. we are looking for a developer for our rd department , to expand our protfolio of mobile products. the developer will be in charge of developing, maintaining and further developing android apps."
f,"are you looking for an exciting new position and an opportunity to change your life for the better? about us: advocate construction is currently expanding our territory in the saint louis area, due to this exciting growth we are now looking to offer an outstanding opportunity for the right person that is not intimidated by hard work and has what it takes to become part of a company that has increased sales year after year. as a corporate representative you will help advocate construction in our mission to help homeowners obtain much needed repairs to their homes after they have experienced damage due to a severe storm at little or no cost. advocate construction offers our team members the opportunity to enter our management trainee program (mtp) which offers an outstanding focus on sales and business management education; this invaluable training will enable you to acquire an impressive skill set which will lead you into senior management and earn a sustainable income for many years to come. if you are seeking a long term career with unlimited potential and are interested in becoming a corporate representative, we invite you to contact us via email with your resume and introduction as to why you are the right person for this outstanding opportunity. "
f,"baesman group, inc. is seeking an experienced and goal driven account executive to help grow our expanding business. this person will be responsible for the sales of our extensive product line and services baesman group, inc has to offer such as our in-house marketing agency, product fulfillment and technology as well as one of the largest sheet fed print production firms in the state of ohio. the account executive will be responsible for growing business with existing customers and cold calling to develop and enhance customer base. this is a unique opportunity for individuals looking to drive their own success based on experience, personal initiative and drive."
f,"are you?… a sociable “people person” enthusiastic self motivated the type of person who gets things done! firm without being aggressive coachable and willing to learn if you answered yes, then your next career is waiting for you in automotive sales! analysts predict an increase of over 1 million additional new cars will be sold this year. your timing is ideal to make the change you have been looking for.job description: business is couldn’t be better at dayton toyota in brunswick, nj! dayton toyota is looking for talented sales professionals! we prefer someone with auto experience with a track record of success but will train the right candidate. you must be very energetic, motivational, and stable. track records on sales, hiring, and excellent customer satisfaction scores will definitely get you in the door. we only hire the best! excellent compensation plan! opportunity to advance and grow within dayton toyota is available.besides a competitive pay plan, dayton toyota offers: benefits opportunity for growth drug free work place "
