fraudulent,requirements
f,"the ideal person to join our customer success manager team is someone who; has worked as a store or an assistant store manager in a fast paced retail environment at some point has experience working as an account manager or customer success manager in a technology company - preferably saas. loves retail and loves people even more has trained staff and in a retail environment was always the go to person that people come to for help with the pos systems can translate technical speak into plain english that anyone can understand and can do so without alienating our customers knows best practice stock management inside out has a solid understanding of the sales process knows what reports can help a business be better and understands basic metrics for retailers can totally dominate excel, particularly .csv files - we spend a lot of time with .csv files! has a good understanding of the financial elements of a retail business, extra bonus points rewarded if you've used xero! wants to help our customers be better, smarter and more successful "
f,16-18 year olds only due to government funding. full time availability.
f,"the most qualified candidates will possess a bachelor's degree and be certified in south carolina with a cac i or cac ii. this candidate will also have good problem solving and analytical abilities, as well as be proficient in verbal and written communication and have excellent customer service, organizational and interpersonal skills. experience treating opiate-addicted patients is a plus. candidate must be willing to start early in the morning, as work hours start at 5am. no legal impediments to serving in a licensed opiate treatment program. must have a valid driver's license. for more information, please visit  "
f,"experience of organizing workshops/events experience of writing (reports or articles orpromotionalmaterial) minimum 1 years work experience education fromprestigiousforeign university or lums or iba, karachi excellent written/verbalenglishcommunication skills "
f,"communications skills: an ability to present the business in a compelling fashion to a wide range of stakeholders – including senior executives. good public speaking skills a definite advantage. stakeholder management: strong interpersonal skills with an ability to manage and build trusted, lasting and fruitful relationships. business acumen: the ability to spot a good opportunity and the intelligence and creativity required to bring it to life. sector experience: a background in commercial finance and/or corporate advisory sectors is a definite advantage. a cross-functional team player: an ability to work well across various departments such as technology, risk, operations, marketing and sales. working effectively with the sales team to ensure partner leads are converted as quickly and seamlessly as possible will be vital. "
f,"5 or more years of experience as an administrative assistant knowledge of office management systems and procedures proficient computer skills, including word, excel, powerpoint, slideshare, and google outstanding organizational and time management skills up-to-date with latest office gadgets and applications ability to multitask and prioritize daily workload excellent verbal and written communications skills discretion and confidentiality pays close attention to detail. high school degree or the equivalent, college degree preferred. certified executive administrative professional (ceap) preferred "
f,you are required to : hold an svq in health and social care or equivalent. have experience in supporting others. have skills or experience working in a similar role. be able to work a minimum of 20 hours per week.(shift patterns may include evenings and weekends) due to the intimate nature of the job we require all staff to hold a valid pvg certificate.
f,"responsibilities:the global pricing strategy analyst, will support workstreams on projects related to visa inc.’s pricing strategy and/or broader corporate initiatives, including collaborating with business lines across regional and functional areas. specific projects will vary greatly in sponsor, business or strategic focus, depth, and stakeholder served, ranging from broad coordination efforts across multiple regions and/or functional areas to focused special assignments for senior management that are of particular high strategic importance to visa inc.the position requires the ability to apply strong analytical and critical thinking skills to solve business problems, and quickly arrive at recommendations that drive corporate priorities.the analyst will report to the sr. business leader, global pricing strategy, and will be based at visa's offices in foster city, california.specific responsibilities include: support elements of global pricing strategy development and refinement, including global pricing opportunity identification and pricing change planning, including systems readiness, communication planning and compliance monitoring. manage aspects of rate change opportunity vetting and forecasting, including but not limited to business case and stakeholder impact assessment development around all proposed new fees/services and/or rate modifications. lead detailed quantitative analyses in support of identifying and vetting new opportunities identify, prioritize, and execute the activities required to support visa’s corporate strategies, priorities, and special initiative projects. work within cross-functional and cross-regional project teams to solve corporate business problems, collaborating and coordinating with a range of internal stakeholders to make recommendations on a wide range of business issues. build and maintain business landscape knowledge, to provide solid foundational context for critical strategic projects. communicate and generate support for recommendations among business leaders across the organization. participate in continuous training with strategy teams. qualifications bachelor's degree from or similar academic experience required. typically requires 1-2 years of management consulting, investment banking or equivalent experience. superior analytical and problem solving skills, with demonstrated intellectual and analytical rigor. role requires the use of quantitative analytical capabilities and critical thinking skills, analyzing data to identify and evaluate new opportunities payments industry or retail banking experience preferred. ability to work independently, usually within a complex and often ambiguous environment, to build rigorous, fact-bases that support recommendations to senior management, other executive, functional, or regional management. must be able to develop content independently, often under significant time constraints. should be able to prioritize work flow with limited supervision. ability to handle multiple project workstreams, with proven success in synthesizing large data sets related to a wide variety of functional business problems. eagerness to work intensively in joint teams with personnel of all levels to accomplish project objectives. personal presence and ability to clearly communicate compelling messages in written and verbal communications. commitment to continuous training. proficient in excel and powerpoint "
f,the position requires the following qualifications: a minimum of 1 year in a call center environment or equivalent customer service experience collections experience a plus! ability to communicate effectively and professionally both verbally and in writing proficient typing skills must be able to work late nights and saturdays as scheduled by management automatic dialer experience a plus strong negotiation skills bilingual in spanish is a plus! 
f,nann
f,"the following are requirements (must-haves). if you feel your experience does not match one of them, we'd appreciate if you specified it on your application. excellent knowledge of the english language (proficiency degree). proficient in using computers, especially word, excel, powerpoint etc. rich experience in working with complex balance sheets and pl statements (gr: ισολογισμοί, κλπ). excellent planning and organisational skills. ability to interact professionally with external partners and contacts. ability to prioritise and be flexible, stay focused under pressure. good communication and team working skills. accounting and/or finance backround/experience. human resources recruiting background/experience. being able to thrive in a fast paced, challenging environment and pick things up quickly and effectively. an enthusiastic and confident nature. trustworthiness, reliability "
f,"about you you will be a passionate and dedicated individual, with excellent attention to detail, a driven personality, and a ‘can-do’ approach to resolving challenges. you may have already started working in digital delivery, or you will be eager to transition into doing so. you will have a demonstrable passion for technology, and an acute understanding of the role it plays in enabling organisations to deliver positive change internally and externally. above all, you will be seeking a challenging role to utilise your full potential, and further your career in digital delivery. key responsibilities understand our clients, their business challenges and their ambitions. ensure our solutions always meet these challenges, are business centric and best in class assist in the coordination of projects using the acknowledgement project management methodologies, quality standards and communication channels support the ongoing administration of the project management function, updating and maintaining systems and documentation assist the more senior members of the project management solutions team in the delivery of their projects, including testing support co-ordinate project documentation and project burn be aware of the latest developments in digital and how they apply to our clients or our production process be alert and responsive to any information indicating a change in client expectations manage conflicting demands and priorities work to acknowledgement project processes, procedures and standards identify and solve small problems before they become big ones contribute to internal rd and innovation initiatives knowledge and skills required preferable at least 1 years digital project management experience experience of working in a digital agency experience of agile and waterfall project delivery essential experience complex multi-stakeholder projects experience of project delivery and understanding of project delivery methodologies understanding of the following specialisms and how they fit into a production process: ia, ux, design, content, business analysis, solutioning, technical architecture, technical development, testing and hosting understanding of full software development lifecycle strong attention to detail a confident communicator leadership and collaboration skills problem solving and decision-making skills understanding of mobile, online advertising, web and social technologies "
f,"able to prove that you can succeed doing all of the above. generous, honest, and willing to challenge everything, including yourself. located in san diego someone we like working with! "
f,"at least 3 years relevant customer service experience bachelors degree or equivalent training/experience proficiency in ms office suite. familiarity with automatic call distribution systems. proficient data entry skills measured by speed and accuracy. experience working in a contact center environment and/or providing front-line service desk or end-user support to consumers. available to work after hours and weekends, as required. knowledge or experience in interpreter services fields and/or supporting consumer products and services to the deaf and hard of hearing community preferred. working knowledge of american sign language preferred. "
f,nann
f,"bachelor degree in related field and/or equivalent work experience a minimum of 3 yrs. experience planning and purchasing outdoor advertising campaigns demonstrable strong client service skills, including advanced organization and prioritization skills as well as interpersonal, oral and writing skills advanced web/technology/software skills a record of proactive problem solving "
f,"minimumassociates degree with a focus on accounting/bookkeeping and three years of work experience. proficient in quickbooks for non-profits, ms word excel"
f,"what you'll need by submitting your application you understand that qubit will store your data in accordance with local laws a degree in computer science or a related discipline or the equivalent in relevant work experience. proficient with javascript, you will be able to hand code a website from scratch using javascript without any libraries or frameworks an eye for creating beauty with css bonus points for:  , cross-browser programming experience bonus js frameworks: backbone, ember, angular, react, ractive bonus js build tools: browserify, requirejs, webpack be proactive and creative in your solutions be passionate about tech and coding authorization to work in the usa "
f,bachelors degree in engineering or closely related concentration manufacturing company experience is a must
f,"we expect you to have both artistic vision and the hands-on skills needed to create and design each project. you will, of course, be given plenty of training, but an ability to formulate innovative ideas and run with them will help you flourish here. this is an exciting challenge for creative-minded designers with a background in building interactive experiences and a portfolio of exciting projects. a history working with big brands would be great, but is not vital. we don’t mind where you come from, just so long as you have a catalogue of amazing work and a love for working in fast-paced environments. you will have: an excellent portfolio of digital projects outstanding adobe creative suite skills an understanding of interactive, mobile and game design an understanding of all emerging technologies across mobile, wearables and ar innovative and creative flair a passion for making amazing digital experiences "
f,"required skills experience 6+ years of windows server active directory management. experience configuring, administering, and maintaining cisco lan wan solutions with a medium to large sized multi-site environment. working knowledge of storagearrays sans. vmware administration project management or project lead experience. job duties system setup and configuration of new servers, operating systems, and applications. administration of active directory support and maintenance of windows 2003 2008 servers. support and maintenance of unix servers. support and maintenance of cisco network infrastructure including switches, routers, firewalls, and wireless access points. administration of exchange server environment. administration and maintenance of it infrastructure monitoring tools. contribute to problem resolution by giving hands-on support to resolve it operational issues for both back-end systems and end-users. assist end-users in the management and resolution of it problem tickets. help develop strategies for client/server implementations; help architect the infrastructure required to support those strategies. coordinate and collaborate the server, network, business application, and database administration functions to ensure availability, reliability of corporate servers to meet business demands. implement server upgrades, maintenance fixes, and vendor-supplied patches. develop and maintain training materials and server documentation. job requirements at least 6+ years of equivalent senior support of a windows server environment required. university degree in the field of computer science or management information systems or a related discipline preferred or equivalent experience. technical certifications including microsoft, cisco, hp, and vmware preferred. working knowledge of windows, exchange, sql, and linux/unix required. possess effective and professional work ethics and habits. strong written and oral communication skills. strong documentation skills. strong customer service skills and the ability to work well under pressure. strong knowledge of network concepts including tcp/ip and routing. strong windows, active directory, and exchange management skills. on-call availability with other it team members. lifting and transporting of moderately heavy objects, such as computers and peripherals. environment the performance of this position primarily entails working in a typical office air-conditioned environment. may occasionally and as needed venture into the warehouse and be exposed to temperatures ranging from 32 f to over 100 f. this also occasionally exposes the employee to noise, dust, fumes, and chemicals including moving machinery. noise levels are usually minimal to moderate and include multiple conversations, ringing phones, and typical office equipment. physical requirements the physical demands described below are representative of those that must be met by an employee to successfully perform the essential functions of this job. reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. while performing the duties of this job, the employee is regularly required to: stand, walk, sit, reach and lift with hands and arms, use hands and fingers to handle, feel, and operate keyboard and office equipment. there is generally more sitting that standing. the employee is frequently required to talk or hear. the employee may occasionally lift or move loads weighing up to 25 lbs. safety the employee will receive safety training including a safety walk though as stated in the safety manual. this is to ensure the employee understands any hazards he/she may encounter while performing their job. the employee must always conduct work that will safeguard their own personal safety, the safety of their co-workers, and to protect company property, equipment, and assets. summary this position description identifies the key responsibilities, expectations of performance, qualifications and work environment as outlined in the contents. it is neither intended nor possible to list all tasks and variables the employee may be required to perform or conditions the employee may be subject to. employees are expected to follow any and all job related duties and responsibilities, as may be reasonable assigned by management. as an equal opportunity employer, e.b. bradley, co. is committed to a diverse workforce."
f,"we need an sales star with proven results. let’s talk if you: want to make $100k+ with 1 sale per week need to believe in the product you sell have a proven sales track record thrive on being an active participant and contributor to fast-growing company provide insight that adds value and roi to client accounts can identify opportunities and concerns with programs create local-optimized campaigns via google adwords, bing adcenter, facebook ads, display network, and other networks can provide c level management reports of success and initiatives are adept in cost per lead/sale analysis to include phones have an eye for conversion-focused design of campaign and test elements are very detail oriented have 3+ years of experience our sem manager/analyst works closely with our seo manager and executive team on strategies and goal alignment. get in with a great team and have fun while contributing to our skyrocketing growth. please addressdr. karen parker, director of operations in your cover letter."
f,minimum 1-2years of working experience developing on android experience in html 5 development ios developing experience - advantage
f,"basic requirements: ability to effectively communicate in english, in person as well as by phone and email. ability to present, pitch and deliver brief customer orientations in person on consistent basis. ability to work with minimal supervision after paid training has been completed. must have a pleasant, energetic and empathic demeanor. must be able to work, secure and canvasses an area on foot. must be neat and have the ability to represent yourself and the company. applicants with experience in the service and sales industry will be highly considered. no general experience required just enjoy helping and speaking to people. "
f,"essential duties and responsibilities: sales of all products and services to customer base. identify and qualify prospects by telephone, cold call premise visits and networking. become an expert in baesman group, inc. products and services to be able to provide solutions to the client’s needs. identification and qualification of prospects to develop for sales process to convert to customers. develop customer relationships to form loyal customer base. ability to anticipate problems with jobs and to understand and monitor job schedule. organization of account records/files and documentation of activities. develop sales campaigns to promote goals of the company. training and continuing education in the industry to stay abreast of trends. knowledge of competition and market. timely submission of reports including forecasting, projections, credit and expenses. thrive in a deadlines driven environment by meeting due dates and customer’s urgency. serve as an example to other baesman group, inc. associates in matters of appearance, attitude and performance in a manner best serving baesman clients and associates. qualifications, experience and education: extensive understanding of the print industry. demonstrated success in sourcing and securing new business. excellent interpersonal skills. demonstrated ability to work effective with people at all levels within the company as well as with vendors and manufactures. strong communication skills, including the ability to effectively present information and respond to question from groups of managers, clients, customers and the general public. excellent customer relations skills. effective time management and organizational skills. strong negotiation skills. proficient with microsoft office and crm software. "
f,must have valid driver's license and be able to pass a background check.
f,"ideal candidates should have the following skills and qualifications: 2-3 years experience working with news content, and 1-2 years online experience familiarity with content management systems and site platforms expert knowledge of news content and audience needs – lives and breathes news, from headlines to politics to business to lifestyle excellent writing and editing skills expert knowledge of effective online content distribution methods, including content sharing and link distribution, and social networking tools excellent organizational skills excellent site management skills positive, collaborative team player enthusiastic self-starter innovative problem solver thrives under pressure "
f,"required skills attention to details solid analytical and problem solving skills fluent english excellent communication and presentation skills have a degree in it or marketing studies. ability to make decisions with little or no guidance, to keep information confidential work in stressful environment excellent knowledge of microsoft office software preferred skills bilingual (french, russian or estonian) is a plus experience with jira agile tool experience in product management or system analytics "
f,"key traits of the perfect candidate: proactive, organized, quick and efficient, excellent judgment, ultimate discretion, can-do attitude, takes ownership and responsibility, confident, sense of humor, identifies opportunities to assist busy executives before being asked, works well with diverse personalities"
f,nann
f,nann
f,"who we’re looking for after earning your bachelor’s degree in a marketing related field or receiving an equivalent professional education, you will have gained 2-3 years of work experience in the field of paid search. you are technically competent and familiar with major sem tools and technologies such as tracking, landing page optimization, re-targeting, display advertising, bid management and google adwords (certification is preferred). you also have a strong personality and excellent communication skills in persuading and collaborating with diverse, multi-functional teams. very good ms-office skills and fluency in english (other languages would be a plus) complete your profile."
f,"πριν αποφασίσεις να μας στείλεις το βιογραφικό σου κάνε ένα γρήγορο έλεγχο στις προϋποθέσεις που πιστεύουμε ότι πρέπει να έχεις : να έχεις ολοκληρώσει με επιτυχία τις σπουδές σου σε κάποια ανώτερη ή ανώτατη σχολή στην ελλάδα ή στο εξωτερικό σε αντικείμενο που να έχει σχέση με την πληροφορική, το marketing ή το management να έχεις δουλέψει σε κάποια - κατά προτίμηση web - projects υλοποιώντας τα περισσότερα από αυτά που αναφέρουμε παραπάνω να έχεις οργανωτικές ικανότητες αλλά και καλές επικοινωνιακές δεξιότητες να μπορείς να δουλέψεις κάτω από συνθήκες πίεσης "
f,university degree required.tefl / tesol / celta or teaching experience preferred but not necessary positive attitude required.canada/us passport only
t,no any experience required.
t,"strong written and spoken communication   ability managing multiple priorities and systems in a fast-paced environment. self-directed and   in the use of microsoft office, i.e. word, excel and outlook. must be organized with strong verbal and written skills."
f,"we are looking for individuals (18+) who are super confident, enthusiastic and have a huge interest in the brand. you are able to work great within a team as well as independently, showing initiative when needed. we want our staff to be reliable and willing to go the extra mile to promote the brand and our ethos. we take our business very seriously but strive to be the coolest most outrageous team at all events, you should be willing to make a fool of yourself once in a while – not afraid to grab the megaphone and shout out to a crowd. we need staff with exceptional communication skills with a creative mindset who can help generate ideas on crowd and customer interaction to ultimately drive sales. experience: previous promotional experience is preferred but not essential. previous experience working within the customer service sector. a onepiece! (not essential)"
f,sales/ business development background a proven track record for hitting targets in both face-to-face sales meetings and over the phone strong leadership skills excellent communication skills management experience ability to build strong relationships goal orientated and target driven individual 
f,"technical domain skills experience with build, configuration and deployment of changes, including ci principles, theory and practices knowledge to tools such as jenkins, buildbot, maven, scons, tomcat etc. configuration management and version control artifact management (artifactory, nexus, npm-registry) git and git branching models is not a requirement but seen as a plus (feature branching, release branching, git flow) development within java, c++, javescript, cross platform scripting, bash, python, groovy release planning and management system administration, virtual network, server, exchange, back-up, asset management, it support etc. personal skills ability to work in a structured manner ability to see new solutions and constant improvement as a daily routine and work on automation of processes and activities is a must high level of quality responsible and work under delegation selfgoing keep commitments team player in a smaller organization, with a high level of respect for other personalities and people ability to handle frequent changes background software engineer (datalog)"
f,"high school graduate or ged; sincere desire and ability to serve the needs of individuals with mental and physical handicaps; ability to express ideas and adapt to change; must not have a criminal record that includes felonies or misdemeanors against persons that are in conflict with the requirements of the position or agency policy; ability to effectively communicate in written and oral form; acceptable physical examination and evidence of no active tb by results of a mantoux ii step test or chest x-ray; valid driver’s license and acceptable driving record, reliable vehicle and active auto insurance."
f,"required skills: we understand that you are just starting out, so we only require a few things. you will need to: be fluent in english with excellent written communication skills. hold a higher education qualification, (a level or higher). be computer literate and savvy on the web. have a great eye for detail. have a logical and methodical approach to your work life. have a 'can do' attitude. desired skills/experience: some knowledge of microsoft excel is a real plus. experience using cms, magento. knowledge of wordpress or similar. "
f,"requirements:bachelor or master degree in information technology (focus on technical software).experience in a high-tech environment.experience in servicing / developing embedded machine software.basic unix/linux knowledge, computer systems knowledge, programming skills (c, shell scripting).knowledge on network protocols (tcp/ip, http, ftp). personal skillsproven excellent social and communication skills in english.team player, but also independent.if applicable, the ambition to learn dutch is an advantage."
f,"high school diploma or equivalent education must be at least 19 years old and have a minimum of two years of driving experience valid and current driver's license valid and current proof of insurance (even if the courier is only driving the company vehicle) ability to comply with any specialized regulatory or licensing requirements, as determined by geographic location and/or work assignment; shyp will communicate any specialized regulatory or licensing requirements during the hiring process. must attain satisfactory completion of specialized training regarding transportation of goods with special handling requirements including, but not limited to, dry ice, clinical samples and/or medical products. must be able to utilizean ios in quick and efficient manner. for new hires, must meet all shyp employment qualifications at time of hiring, including successful passing of background check essential functions: ability to stand during entire shift, excluding meal and rest periods ability to move and lift 75 pounds and maneuver packages of any weight above 75 lbs with appropriate equipment and/or assistance from another person ability, on a consistent basis, to: bend/twist at the waist and knees communicate effectively with customers, vendors, and other team members perform work activities requiring cooperation and instruction function in a fast-paced environment, under substantial pressure maintain attention and concentration for extended periods of time work with minimal supervision report regularly to work and maintain established business hours in order to support the shyp business; regular attendance and/or reporting could include regular attendance at a physical location and/or maintaining established business hours depending on the scope and nature of the position "
f,"demonstrable experience with consumer internet (inc mobile) product(s), ideally proven track record at a fast growing transactional/ ecommerce company. ideally will have managed full product roadmap and have vision, customer instinct, and execution obsession to build incredible products. experience of successfully scaling processes, capabilities and building cross functional teams in fast growth environments. you have built something amazing before or turned good into amazing! love for data - you can back your analytical credentials by showing how you use data in decision making. you should know what things to measure and how to measure them. you should know your retention from your referrals. you should know how to implement and analyse a/b tests. we expect you to iterate and improve based on behaviour and engagement data. experience running multiple different product teams across a variety of products. percolate an ambitious vision down to a minimum, viable product. we heavily encourage building, measuring, learning, and iterating. outstanding communication skills are a must for speaking to customers, stakeholders, developers and designers. "
f,"-bachelor's degree in engineering -sales experience +2 years -intermediate english level -metal-mechanic sector general knowledgeand strategic account selling skills to support expansion in the respective territory. - must be willing to travel within assigned territory. - must be willing to work under ""home office"" scheme when required."
t,no any experience required.
f,what you have been up to: substantial experience with elasticsearch experience with sql and postgres experience with azure knowledge of index and optimization work and monitoring of database performance. substantial experience with quality assurance work qualified with django and python nonsql database knowledge 
f,"if you are 19 years or older andwould like to be considered for a position within our quick service team please apply by clicking on the link below or sending your resume to email_b80737ecf013a0d9eb4aa2567f41dbbfcb0533f564f273612ad54a9871dd83e2, and we will advise you of our next open interview date."
f,"2+ years of experience at a start-up, preferably as a founder proven ability and charisma to lead others experience mentoring start-ups is a huge plus interest in community organizing and platform development interest in learning and executing the blueprint health portfolio selection and development process "
f,"you know how to write copy that captures and keeps the reader's attention. you love technology, and can comprehend and translate technical jargon like nodejs, erlang, elasticsearch, redis, etc. into conversational english. you're adept at gathering fodder for marketing communications by talking to technologists, marketers, and users, then identifying the themes, key points, and important vocabulary to use when you sit down to write. you also happen to publish regularly on your own blog, and are on your way to dojo master status at stackoverflow, quora, and twitter. you can also: write clear, conversational, and technically correct english prose and possess a strong command of grammar, spelling, and style. nurture curiosity and confidence to gather facts and ask the extra question until you get what you need for a good story. excel at interpersonal communication and active listening. get stuff done and quickly earn the trust to do good job without much handholding. "
f,a bachelors degree is preferred but not a necessity. sales experience is preferred. knowledge of the central florida area.
f,nann
f,nann
f,more than 2 years of b2bsales sales experience in thehealth industry is a plus an understanding and widenetwork reach in the medical industry in singapore and the region is a plus good understanding oftechnology abilityto work in a small kick ass team resonance with ourcore values 
f,"prior experience in the oil and gas industry is preferred. prior experience working in a small- to mid-sized company is preferred. qualifications: bachelor's degree in accounting/finance or related field from four-year college or university. certified public accountant strongly preferred 5+ years' related experience and training or the equivalent combination of education and experience. company overview: our international client specializes inhi-tech transactional and technology services, consulting, systems integration, and managed services."
f,nann
f,"qualifications and experience ideally ca(sa) or cma with 5+ years post article experience solid experience in manufacturing and therefore cost accounting is essential a good understanding and implementation of international financial standards a solid understanding of erp systems a good understanding of reporting systems knowledge of south african taxation advanced computer skills (e.g. ms office, syspro (preferable) and bi tools) personal attributes, behaviours and attitutes strong, proven leadership skills ability to think strategically and translate strategy into operational plans ability to work at all levels across the organisation excellent analytical, organisational and management skills conflict resolution and above average negotiation skills a self-starter with high levels of energy and drive ability to travel within sa (durban, cape town) calm and positive under pressure high levels of candour, advocacy, integrity and ethics "
f,about you: 3-5+ years direct operational experience at managerial level ideally within a high growth e-commerce company or online marketplace ideally have experience in a startup track record of crafting operational processes and metrics for scale experience managing suppliers and negotiating contracts across cultures strong quantitative skills with a ruthless focus on data for decision making be numerically and analytically strongs with a hands-on attitude strong project management and leadership skills with keen attention to detail and processes excellent interpersonal skills at all levels it’s a great time to join one of the fastest growing startups in london and have a strong role in on our next stage of growing the company.
f,"the musts: you think big, and enjoy moving fast. youobsess about our product and the challenges that our customers face each day. you care deeply about the quality of the work you produce. strong object-oriented programming skills. strong programming skills in objective-c, java, or both, with deep knowledge of development for ios and/or android. a willingness to learn something new. every day. beproudof what you work on and what you ship. must be self-motivated and looking for new challenges. experience developing and launching at least one high quality app. familiarity with backend technologies and how to interface with them.backend development experience is a plus. opinionated about products, with good user experience instincts. the that’d be greats: 2+ years experience in a professional work environment. experience with wordpress, and building custom wordpress plugins. experience with payment networks. experience working with a variety of social apis (twitter, facebook, etc.) we live and breathe by thedo what you love, love what you dophilosophy. we do everything we can to create this type of environment."
f,"ba or bs degree. you aren’t afraid to make dozens of calls a day strong consultative sales skills with an understanding of how to determine prospects’ needs and meet customer objectives and goals. a strong work ethic and superior organizational skills; you have the ability to fluidly manage the entire sales pipeline on your own and report via a crm to the team a passion for web technology and social media, and the capacity to understand how it works. bonus: 1+years of direct salesexperience with a proven track record of success selling to several levels of an organization experience in a software-as-a-service environment; selling a saas product. experience selling a b2b marketing product strong understanding or network in a particular b2c vertical sales experience in a fast-paced startup environment a network of potential clients from your experience in sales any technical skills/knowledge e.g. api, css, html, etc. "
f,"must have excellent written and verbal communication skills. knowledge and experience with facebook, twitter, youtube and other social media platforms. strong attention to detail and organizational skills. background in marketing, communication, or other related discipline. highly organized, with an ability to prioritize time-sensitive assignments."
f,"πριν αποφασίσεις να μας στείλεις το βιογραφικό σου κάνε ένα γρήγορο έλεγχο στις προϋποθέσεις που πιστεύουμε ότι πρέπει να έχεις : να έχεις ολοκληρώσει με επιτυχία τις σπουδές σου σε κάποια ανώτερη ή ανώτατη σχολή στην ελλάδα ή στο εξωτερικό σε αντικείμενο που να έχει σχέση με την πληροφορική και το software development να έχεις δουλέψει σε κάποια web projects σε τεχνολογία .net + ms sqlsever ιδανικά σε κάποιο cms όπως είναι το sitecore, το kentico, ή το umbraco να σου αρέσει το development, το software engineering και το internet να έχεις φυσικά γνώσεις περιβάλλοντος ανάπτυξης visual studio να έχεις γνώσεις σχεδίασης και χρήσηςβάσεων δεδομένων,κυρίωςms sqlserverή άλλων relational databases να έχεις εμπειρία στην ανάπτυξη εφαρμογών με τη χρήση web services "
f,"responsibilities will include, but are not limited to:- prospecting new accounts via social media, telephone and/or face to face- selling products directly to salons and/or other related industries- maintain and follow up with prospect files- following up with accounts to be sure they are satisfied with quality of product and level of customer service- submit weekly activity reportthe right candidate should possess:- a positive, go-getter attitude- an appreciation for our product line- proven sales record- exceptional customer service skills- ability to acquire and maintain business relationships"
f,government funding is only available for 16-18 year olds as this job is an apprenticeship.
f,"-proficient in video conferencing and collaboration technology with in-depth knowledge of products such as cisco/tandberg, polycom, crestron and microsoft lync a plus. -proficient in audio systems technology with in-depth knowledge of products such as crestron and extrom. -advanced technical understanding of h.323, sip, and gatekeepers. -previous product experience with advanced media technologies (streaming, compression, transcoding, transmuting), including mpeg standards (h264/mpeg-4, mpeg-2, avc svc) -strong interpersonal communication skills. "
f,good driver license and experience
f,"proven experience growing a product’s user base from a marketing or product position, particularly at an early-stage company experience in marketing or product at a consumer technology company understanding of digital ad technologies and data-gathering frameworks experience with a/b testing, data mining, analytics devout self-motivation an entrepreneurial spirit and a passion for helping people through capitalism. we would also like previous start-up experience deep knowledge of the mobile space experience as an analyst or financial analyst"
f,"4-year degree fluent in english, additional language skills an advantage exceptional communication skills, including presentation and training abilities empathy to work with different stakeholders throughout the process (administrators students) must be technology savvy strong understanding of college culture hard working, self-motivated, and intelligent (ability to identify needs and quickly develop solutions) excellent time management and multi-tasking skills willingness to work flexible hours when required our ideal candidate would also have: experience in mobile or a technology-related role experience with sfdc "
f,"must have a minimum of seven (7) years of experience as a senior database administrator supporting microsoft sql databases. previous experience with oracle and ibmdb2 (non-mainframe) is considered an asset. microsoft sql certification, though not required, will be considered an asset. previous experience with large commercial-off-the-shelf (cots) applications. demonstrable experience leading the design and architecture of enterprise sql database environments. scoring of this requirement will be weighted heavily in the evaluation. extensive experience monitoring enterprise sql database environments with a focus on database optimization, functionality, and scalability. scoring of this requirement will be weighted heavily in the evaluation. ability to work independently as well as integrate with and support the product, architecture teams and third party vendors to assist in database related issues or initiatives (such as product road maps, problem resolution, database analysis,etc.) previous experience and success migrating legacy database applications to newer database technologies. previous experience creating, documenting, reviewing, and executing database health plans. "
