,fraudulent,requirements
17053,f,mssql 2008 mssql 2012 iis 7.5 mobile experience (ios and/or android) html/cssjavascript
9218,f,"about you: the ideal candidate will have a proven track record of launching a world-class mobile app across multiple markets where a strong community has been built be naturally data-driven and a full stack marketer across digital marketing, sem, experiential campaigns, offline marketing, partnerships and sponsorships, email and social be empathetic to our users and market to our audience in unique ways appreciate the nuances of marketing a web product vs mobile app have been a budget owner within a high growth business collaborate with all areas of the business but especially with design, product and development exceptionally strong team leader, measurer of roi, and be accountable for results ability to thrive in a fast-paced startup environment strong analytical, planning, and forecasting skills outstanding communication and presentation skills; able to articulate a vision, strategy or idea clearly able to work at both strategic and tactical levels…not afraid to “get your hands dirty” digital and mobile native appreciation for design and a genuine passion for depop it’s a great time to join, be impactful and have a voice on our next stage of growing the company."
6389,f,"your skills: minimum 10 years of combined relevant university studies and experience in it; minimum 6 years of experience in java development, using spring framework the spring projects and tools; working experience with html5 and ui frameworks including angularjs; hands on experience with data modelling and object-relational mapping, testing methods and tools; experience with rup and uml is required; knowledge of integration and deployment tools including jenkins and sonar; in depth knowledge of it security frameworks and tools for the development and maintenance of applications and relational databases including oracle; excellent command of english, working knowledge of french. "
17776,t,"- flexible schedule- minimum 2 years’ experience- knowledge of excel, word and powerpoint- strong communication skills- a can do mentality- common sense- experience in traffic-logistics-team player- data entry, general filing- able to think outside the box- able to communicate in spanish- long term view- references"
17825,t,"primary responsibilities include but not limited to: providing clerical support (filing systems, faxing, office daily maintenance, supplies). organize maintain office. assist with schedules, calendars and other related tasks. assist with all paperwork. answer customer's calls, returns, manage orders, logistics details and solve related problems."
5272,f,nann
9974,f,"requirements: expert with html and css (specifically html5 css3) ability to work with adobe photoshop, illustrator and fireworks files to cut images from provided design files. advanced javascript knowledge including frameworks such as jquery. basic experience with php and experience skinning and customizing cms applications like wordpress or magento. obsessive attention to detail, ensuring that website matches design pixel per pixel and pages are well tested. competent talking development and understanding current and upcoming trends. motivated to research and learn about new technologies and practices. must be able to act independently and to switch rapidly between different projects in a fast-paced environment. 2-4 years of on the job development experience. nice to have: experience inmobile app development "
6574,t,internet access home pc or laptop commitment
8678,f,"highly motivated self-starter with 1-2 years experience (will consider internships) strong academic background and organizational skills great communication skills, and the ability to jump-start and maintain a conversation optimistic outlook persistence ability to work well as part of a team willingness to get things done "
3178,f,"positive track record- professional appearance- an ""i can attitude""- energy, excitement and enthusiasm- team player- possess intense focus on customer satisfaction- have minimum of one year of retail sales experience"
16861,t,"bs degree in engineering or technical field or equivalent experience; advanced degree preferred 5+ years’ experience engineering experience and demonstrated use of quality tools/methodologies detailed knowledge of fda, gmp, iso 13485, and iso 14971 prior medical device experience preferred experience implementing various product and process improvement methodologies (e.g., six sigma and lean manufacturing) asq cqe or other certifications preferred "
8819,f,"an ability to lead by example and assist others outstanding oral and written communication skills a customer focused, positive and resilient attitude experience working toward targets, and kpi's a proactive problem solving capability proven telephone based customer service experience supervisory experience "
9620,f,"knowledgeableabout all social media networks including upcoming ones like snapchat, pinterest, wanelo etc. a data-driven mindset towards marketing with a/b testing, roi and spreadsheets in your heart and soul. experience in the fashion or online marketing space is a huge bonus the position is part time of approximately 15-25 hours a week and full time employment may be discussed upon completion. we are looking to have applicants begin as soon as possible being located in the greater toronto area or canada is highly desired, however the job may be done virtually partially. "
4014,f,"native english speaker 1-3 years of social media marketing experience experience with blog writing, content generation marketing experience is not required but is a plus knowledge of html is not required but is a plus "
7734,f,nann
5209,f,"ideal candidates should have a minimum of 3-5 years b2b sales and possess excellent communication skills . candidates must be able to negotiate complex sales by coordinating with and appropriately leveraging multiple internal resources, working with external partners, and navigating across multiple job levels (staff to c-level) and functional areas (it, procurement, facilities, lines of business) within the territory. in doing so, best candidates can build and maintain a network of colleagues, partners and customers to share information and obtain prospects. candidate needs to be able to articulate and position products, services and solutions to key decision makers. must manage the sales cycle across customer accounts. propose and close sales that achieve total revenue growth. manage activities; appointments, demos, proposals, cold calls and database updates. meet/exceed revenue and gross profit expectations."
4807,t,no requirements
5808,t,"minimum of three (3) years of work novationoffers an empowered work environment that encourages creativity, initiative and professional growth and provides a competitive salary and benefits package. novation is an equal employment opportunity/affirmative action employer and maintains a drug-free workplace. we are fully committed to employing a diverse workforce and creating an inclusive work environment that embraces everyone’s unique contributions, experiences and values. please apply on our website for in an employee relations related field. experience working in a shared services or coe model preferred. knowledge of er procedures and processes such as the proper handling of investigations, employee complaints and corrective actions. technical understanding of employment laws and employee dispute resolution programs. excellent written and verbal communication skills. exceptional customer service focus and orientation. a high level of emotional intelligence and excellent interpersonal skills. proven project management skills, including attention to detail and a demonstrated ability to manage multiple projects and tasks. proven ability to multi-task in a high volume environment; ability to prioritize conflicting demands, and organize time and focus to bring investigations efficiently to successful completion. ability to effectively engage with individuals at all levels of the organization. demonstrated ability to influence and build collaborative relationships across divisions and geographies. strong negotiation and conflict resolution skills. ability to operate with a high degree of sensitivity and confidentiality. ability to work independently and with minimal supervision. proficient in microsoft office suite (word, excel, powerpoint). ability and willingness to travel as needed; estimate up to 20%. "
2770,f,"the competitive applicant will possess all of the following: strong html and css skills javascript familiarity (functional proficiency is preferred) excellent written and verbal communication skills collaborative, team-oriented work ethic "
6972,f,"integrity,a positive attitude anda strong work ethic required willing to learn bea team player receptive to new ideas valid driver's license "
9958,f,"the ability to talk about technology in simple terms strong ability to clearly communicate objectives and programs, both written and verbal strong analytic skills and logical thinking skills up-to-date with the latest technology the ability to maintain a high level of confidentiality excellent interpersonal and customer-facing skills the flexibility and willingness to learn tact and diplomacy the ability to work as part of a team the ability to work accurately, with attention to detail preferred qualifications: 2 years of relevant technical experience in a professional position post secondary education in the field of information systems, business, communications, or related field. asset but not required: experience with hosting/whm/cpanel administration experience with zendesk helpdesk software experience managing voip based phone systems strong google apps for business administration skills or certification google cloud administration "
17212,f,"college graduate in finance, accounting or business team player with excellent analytical and reasoning skills self-motivated, responsible, accountable, and mature ability to communicate effectively in english and one of the following languages: turkish, greek, albanian and romanian to serve our customer base excellent verbal and written communication skills highest levels of honesty, integrity and ethics proficient in personal computer skills and in business-related computer software strong microsoft excel (advanced excel skills and knowledge of vba a plus) prior work experience in a financial analysis capacity (minimum two years) "
15660,f,"minimum job requirements position prefers a b.s. in computer science, but is not required with proper experience and technical certifications, ie mcp, a+, or dell certified technician. if no degree, then 3+ years experience as a pc technician or in helpdesk environment. in-depth knowledge of pcs, windows os and desktop, microsoft office outlook, and remote management/control tools, and software applications. additionally, knowledge of, and familiarity with apple ios, blackberry devices, android os, and other table/mobile equipment is a plus. experience with microsoft active directory and exchange in a corporate environment. 2 years minimum hands-on experience working with microsoft o/s, including windows 2000, xp or 2003. working knowledge of basic to intermediate level? networking; cable, dsl setup knowledge, familiarity with tcp/ip troubleshooting. very strong written and verbal communication skills, with the ability to create and update documentation and procedures. friendly presence and helpful attitude; good interpersonal skills and ability to work well with others ability to provide technical support over the phone; good phone skills, professional demeanor, previous customer service experience strongly desired. strong analytical problem solving skills and ability to coordinate multiple tasks efficiently. ability to work responsibly with or without direct supervision. ability to deliver quality results on time utilizing effective time management skills."
4804,t,cv/resume
7302,f,"you are innovative, self-motivated, a quick learner, and willing to develop new skills while constantly improving existing abilities you have great knowledge of html, css and javascript any mobile development or design tools experience is considered a plus "
5852,f,"degree in mechanical engineering minimum 5 years relevant experience with multi discipline engineering, process and construction (epc) company in oil gas, petrochemical, chemical or pharmaceutical industries well-versed in all local and international codes and standards in the related field (such as api code) proficient with microsoft word excel, 2d 3d modeling software, such as autocad and/or microstation. able to work independently. "
11397,f,"6+ years php 5 object oriented experience including strong experience with an mvc php framework 2+ years using symfony / symfony2 (recent symfony2 experience required) doctrine 2 mysql restful services comfortable working with version control using git agile scrum methodology experience phpspec/tdd behat/bdd self-reliant, creative problem solver, outcome orientated adaptive learner, someone who’s motivated by the challenge of getting thingsdone, team player strong communication skills other plus points: previous mentor/coaching experience a love for technology and learning about new technologies "
7432,f,"2+ yrs experience doing computer basedadministrative / office work typing skills at minimum of 50+ wpm (will be tested) excellent grammar, spelling, proofreading, and writing skills intermediate skills with ms excel, word, and outlook basic knowledge of html general internet search / and windows proficiency strong work ethic and able to work on repetitive tasks with accuracy ability to work fast and complete tasks quickly with good accuracy willing and able to pass background check and drug screening prior to hiring note: all of these skills will be testing during interview process. please make sure you meet the above skill requirements"
11550,t,"qualifications: 2+ years of experience with proven seo results. solid understanding of seo and html. strong forensics, problem solving, and analytical skills. ability to work cross-functionally with product, marketing, and design teams. proficiency in site analytics, google analytics preferred. self-starter/self-motivated, capable of staying on track and pursuing solutions without supervision. ability to work under pressure, meet deadlines and handle multiple projects simultaneously. preferred qualifications: experience in a b2b saas company. experience with drupal, wordpress and marketo. engineering background. "
13440,f,nann
15732,f,"having previous supervisory experience over a chemical production work unit, must have excellent knowledge of all production processes and procedures. must have excellent knowledge of osha requirements pertaining to chemical production processes, ability to learn, interpret and utilize the company’s sops including management policies and procedures. must be able to read and understand schematics and engineering drawings. proficient pc skills utilizing ms excel, ms word, and ms power point. educational qualifications: bs engineering we provide full time permanent positions for many medium to large us companies. we have more than 1500 jobs available in our website. our website has thousands of openings and these job openings are not posted anywhere else online. when you apply online through our website, it automatically forwards your information to the recruiter handling your applied job. if you are a close match, they will contact you immediately to discuss about the positions and do everything to get you an interview with the client as quickly as possible. visit : "
5411,f,bachelor's degree (or equivalent experience) 1-3 years b2b web/software/saas sales experience excellent verbal and written communication skill experience working with and selling to c-level and organizational leadership 
6937,f,"what we are looking for either a degree in a relevant discipline or equivalent work experience (2+ years) excellent skills and experience with adobe creative suite – photoshop, illustrator and indesign experience in front-end web responsive design and mobile interfaces css or html and other web design languages such as javascript are a plus experience working in the online sector ux experience and an eye for design with usability in mind "
17736,t,nann
11706,f,"education: ba/bs required, masters preferred. experience: at least 2 years experience in a management consulting, operations and/or account management role. advanced knowledge of excel, powerpoint and salesforce. willing to travel domestically and internationally up to 50% of the time. advanced knowledge of email ticketing and cloud based phone systems (i.e. zendesk, , rightnow, incontact, five9 or 8x8). international vendor management experience. experience managing customer care and/or back office operations preferred. "
17656,t,must be able to work from home
2051,t,"experience in maintenance, creating reports, and prior supervising experience is strongly preffered."
6575,t,"qualifications personal attributes - msc. in engineering or/and business administration- 10 years’ experience from international oil gas or infrastructure industries as lead construction position- 3 years’ experience with handling of contractual issues within engineering and construction projects for offshore and subsea applications - fundamental knowledge of; contract drafting, negotiating, background law, and business norms for aker subsea and aker solutions’ contract standards - basic understanding of erp systems, preferably sap- basic understanding of planning tools, preferably primavera- good communication and leadership skills- good knowledge of the english language- systematic and analytical - high integrity and ethical values- ability to work both operationally and strategically- flexibility on travelling and stationing/rotation required according to the project’s needs."
8152,f,nann
1469,f,"about you track record of flawlessly executing on b2b communications, thought leadership campaigns, and partner pr programs excellent oral and written communications skills, with a knack for turning internal content into eye-catching pitches and contributed articles. an incredible writer, with a deep understanding of jtbd concept outstanding interpersonal, project management and prioritization skills. unfazed by constant change. an eye for simplifying complex topics and technologies to their essence broad skillset that stretches across growth channels/drivers -- blog, social media, press, events. deep understanding of marketing automation tools, such as hubspot, marketo, bufferapp, etc. a playbook of social media initiatives with quantifiable success from experience in current or prior roles. bias towards immediate action and results consummate multi-tasker prior experience in a b2b saas vertical (3-5 years) marketer with product design background a huge plus responsibilities create, manage, and execute on cross-channel contentstrategy that establishes invision as thought leader in the productdesign space. own blog and social media, including scheduling and finding relevant inspirational product design content and creating a social media program other companies aspire to replicate. explore ways to expand marketing efforts into new platforms and channels. write compelling copy and work withrenowndesigners and guest writers to educate and engage potential and current users. create blog posts, case studies, educational materials, andonboarding collateral to create happy users that love and understand invision. work to ensure consistent brand voice across all messaging. work with pr agencies, managing the relationship, providing guidance on stories and announcements drive press coverage around our products and reports in a diverse media landscape including business and consumer press "
12906,f,additional notes: • top 3-5 must have technical skills: o 1. juniper ssl vpn o 2. juniper firewalls o 3. palo alto firewalls • top 3-5 daily responsibilities? o 1. implementation and troubleshooting of juniper firewalls and routers o 2. design and implementation of security and networkinfrastructure o 3. nice to have – able to provide escalation support
3782,f,"responsibilities of the role – the cfo will be responsible for overseeing all aspects of the company’s accounting function, including general accounting, financials, treasury management, and cost control, to include monitoring ongoing expense reporting and budgeting by department. in addition, the cfo will supervise the a/r, a/p, and payroll functions of the company. the cfo will also, in a timely manner, develop, prepare, validate, and deliver accurate and comprehensive financial and statistical reports. the cfo will work closely with sales marketing to ensure adequate profit margins and will work closely with production in the control of costs and inventory. additionally, the cfo will ensure that the company maintains tax compliance and takes advantage of tax credits. furthermore, the cfo will aggressively manage cash flow while coordinating financing activities with external agents. finally, the cfo will actively work to maximize the return on all company assets and the company’s investment portfolio. requisite capabilities, credentials, and characteristics – first and foremost, the cfo must have in-depth expertise in microsoft dynamics gp, followed closely by experience in the food industry, manufacturing, and consumer packaged goods. in addition, the cfo must be extremely analytical. s/he must have held it management reporting responsibility and must possess extensive reporting experience in a corporate finance setting – preferably at least once in an academy foods company – with the proven ability to develop and adapt meaningful metrics to capture all performance aspects of the business. the cfo will have experience developing forecasting models and will have experience-tested aptitude for strategic planning. the cfo must be a strong advocate for process improvement and will be able to cite specific examples of achievements validating this capability. finally, while possessing a mba and/or cpa is preferred, the cfo must have at least a bachelor’s degree with at least 15 years of experience in corporate finance. special consideration will be afforded those candidates who, in addition to the essential capabilities noted above, also have exposure to commodity hedging practices, advanced treasury cash management strategies, and tax minimization strategies and that have demonstrably employed these practices with success. the cfo must carry her/himself with a collegial and collaborative style of working with other executive team members and must be comfortable reporting to and working with the president in owner/president-structured companies."
16205,f,"what you'll need by submitting your application you understand that qubit will store your data in accordance with local laws either a degree in a relevant discipline or equivalent work experience strong skills and experience with adobe creative suite – photoshop, illustrator and indesign css or html and other web design languages are a big plus experience working in the online sector ux experience and an eye for design with usability in mind "
240,f,"preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 50 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check and have a clean driving record ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy minimum of 6 months customer service related experience preferred high school diploma or equivalent (ged) required "
10697,f,"your skills: minimum 13 years of relevant university studies professional experience in it; minimum 9 years of experience in coldfusion version 9 and upper using oracle dbms and pl/sql; expertise in ria frameworks like adobe flex or would be an asset; working experience in coldfusion frameworks like coldbox or mach ii and / or j2ee spring framework is advantageous; experience in sharepoint or .net technology is desirable; excellent command of english, both written and oral. "
17111,f,"experience in architecting/designing products (preferably medical devices) with wireless capabilities [wifi, bt, bt-le] strong experience in any platform [win, android, ios] ? system knowledge, os internals, device drivers and application development ability to understand high-level concepts/design down to detailed bit/bytes solid design skills and debugging approaches/techniques experience in integrating software in a regulated industry experience and capability to provide creative solutions and can adjust to the customer?s demands experience with real-time patient-centric data desirable · minimum experience required: 5-8 years mandatory skills: medical data acquisition and mobile systems, diagnostics-bsp, embedded software design, rtos, embedded debugging, rfid, system software design, gis - geographical information systems, unix developer tools, embedded, embedded linux, rtos device drivers, j2me desirable skills: c programming, embedded and system software"
8631,f,nann
4595,f,your skills: minimum 10 years of combined university studies and experience in it; working experience in uml and in relational databases; excellent communication skills and ability to integrate in a multicultural environment; minimum 6 years of professional experience in web development using java/j2ee and xml; hands on experience in the design and development of internet applications (web and multi-tiers); hands on experience in software development methodologies like rup; excellent command of english both written and oral. 
471,f,nann
11873,f,"experience cleaning, specifically in a medical facility, is a plus, but all necessary training will be provided. reliable transportation is a must, as well as the ability to pass a background check and drug screening."
17144,f,• proficient in native android application development. android sdk expertise required.• experience delivering at least one major android application that is still available on google play.• 5+ years professional experience in mobile application development.• strong understanding of security and performance fundamentals required.• additional experience in ios development highly desired.• familiarity with git and/or jira is a plus.• experience working on web application apis in a language like python or php is also a plus.• familiarity with one or more android graphics libraries
6692,t,key experience and qualification requirements:• minimum degree in an engineering discipline (preferably petroleum engineering first or masters degree)• sound understanding of well design and construction integrity• ability to work with subsurface to jointly develop basis for well design• skill with landmark suite of engineering tools• knowledge of government approval process useful but not essential• minimum 5 years relevant drilling and completions experience• minimum 1 year nws experience• both well design and execution experience
5386,f,"customer facing role which includes business requirement gathering transitiong business requirements to technical specs for the bi/dw team responsible for delivery management to customer lead architecture and drive technical team day to day developments provides business analysis and project management services to assigned areas of the business. analyzes business needs, eliciting requirements, performing process review, and documents required specifications; ensures business processes and technology meet the business partner’s needs. possesses an understanding of major it systems. controls projects through identification, tracking, and measuring of project goals, risks, and objectives. mentor and/or provide leadership to techincal team. must have skills: * 10+ years of business analysis, data warehouse and business intelligence. * 2+ years of experience as a technical lead and architect in dw/bi projects * 8-10 years experience with sap business object technology stack reporting, admin installation, etl. * clear, logical, and effective verbal/written communication and presentation s "
16203,f,"previous community management experience is an asset, but not required if you have the right attitude and personality. you are a self-starter, able to work independently, plan your daily duties and organize your tasks to work as efficiently as possible. you are friendly and outgoing, able to engage with partner location owners and staff as well as the general public to get them excited about our service. post-secondary education is preferred, as we are looking for a long-term prospect who will eventually be able to manage the city. "
15469,f,"21 years of age or older positive, energetic attitude strong work ethic solid knowledge of the city a registered, insured and inspected car, suv, pickup truck or van less than 10 years old a current driving license and clean driving record tech savvy -- you’re comfortable using a smartphone and apps iphone 5 or newer preferred about dropoff dropoff is modernizing courier and same-day delivery by providing its business customers a superior experience built on unmatched reliability, convenience and service, all powered by a proprietary technology platform. headquartered in austin, texas, dropoff was launched in may 2014. join our growing team, where you can have a real impact on the way we’re shaping our business and reshaping the same-day delivery industry. help us deliver a great experience locally, and expand our presence as we grow into markets around the country. we’re an equal opportunity employer that values diversity and inclusiveness in the workplace."
6363,t,"qualifications/requirements: bachelor’s degree with 2-3 year’s work experience minimum of 1 year experience implementing interfaces using any interface engine technologies design, document, develop, test and validate hl7 interfaces and/or conversions integration engineer to install, configure, test hl 7 interface linkages at both electronic medical record (emr) and practice management (pm) customers sites and perform data conversions. integration engineer is proficient with electronic data standards such as hl7, xml, and has proven problem solving and technical troubleshooting skills. strong problem solving and technical troubleshooting skills excellent written and oral communication skills and personal time management skills "
13078,f,"detail-oriented, professional, organized, and reliable. exceptional communication and interpersonal skills. outstanding customer service expertise and ability to act with a sense of urgency. strong problem-solving skills, knowledge of basic accounting principles, and experience developing documentation and researching and resolving issues. ability to work independently, manage timelines and deliverables, and multi-task. prior experience working in a fast-paced and high-volume environment with emphasis on accuracy and timeliness. ability to work with employees across all levels and functions within the organization. proficient knowledge of microsoft office suite products. qualifications: 5+ years' experience in accounts payable, preferably within a pharmaceutical or manufacturing company. high school diploma. accounting degree/certificate preferred experience working for a global company. quickbooks a/p experience is strongly preferred. company overview: our client is a growing pharmaceutical management company that provides specialized services to retail, compound, and specialty pharmacies in the united states. "
8428,f,"c++ experience (including openmp, multithreading). nice if you have worked with tools such as vtune, valgrind, etc. hpc experience (mpi, especially with parallel file systems such as lustre) strong computer engineering background: working theoretical knowledge of the storage hierarchy, networking approaches, modern cpu design. we need every bit of performance we can find. nice to have: finite element or other scientific simulation experience "
8770,f,nann
17313,f,bachelors degree in engineering or closely related concentration manufacturing company experience is a must
2220,f,"job requirements qualifications: * high school diploma or ged is not required * warehouse, distribution, production, or manufacturing experience helpful - entry level candidates are welcome to apply if you meet all other requirements * lift 10-20 lbs repeatedly and up to 50 lbs occasionally * ability to meet physical demands involving extended periods of standing, walking, bending, kneeling, and reaching * perform verbal and/or written instructions"
11770,t,"essential duties and responsibilities: review product define system architecture to meet the requirements will be the owner of product system definition for all spbu products. will participate in technical discussions with customer to present strengths of product architecture. review all new designs and implementations to ensure minimal deviation from existing architecture. defines, constantly reviews, and differentiates the feature sets of the entire product line and individual products active in the product life cycle. provide input for developing compelling and comprehensive product collateral to support spbu marketing and sales teams for pre-sales and post-sales activities. collateral includes datasheets, product briefs / slicks, white papers, case studies, product presentations, and when needed, videos. takes the role as internal expert as well as external spokesperson and evangelist for spbu products architecture. working closely with the software team, help develop a strong patent portfolio. provide technical leadership in responding to rfis and rfps. take high level feature requirements from marketing teams and customers and write detailed feature specifications and system architecture for the software team. work closely with partners to define architecture and testable requirements for taking new products and features to market. qualifications: strong technical background with prior experience working with service providers in the telco, cable and/or mobile space. must have the ability to transform abstract concepts into a concise, clear, and structured requirment documents including presentations and technical briefs. ability to take a new technical standard, understand and translate detailed system architecture. strong understanding of networking and consumer electronics, technology and products related to product line. good interpersonal skills and able to work well with people from all regions, at all technical and management levels. mature communication with partners, peers, and managers. skillful verbal and writing abilities and effective presentation skills. five to sevenyears of system architecture in telecom and networking experience with demonstrated knowledge of technology, industry, and branding. thorough understanding of the service provider market is a must. demonstrated leadership skills to focus internal resources, coordinate rd, and coordinate business partners. past background in system development including hw and sw is a must. b.s. in computer science or electrical engineering. "
14462,f,"2+ years similar experience preferred excellent people skills: must be personable, patient, good-humored intelligent, quick thinking, and fast learning must be able to multi-task a team player with strong communication and organizational skills—and an ability to “roll with the punches” high attention to detail, organization, and process. ability to be flexible in response to changing priorities and needs. proven ability to manage projects, work under pressure and consistently make deadlines. "
4070,t,"• analyze clarify and resolve intermediate policy and account related questions/transactions from internal and external customers. reviews problems and communicates with appropriate personnel to obtain information when necessary. responds to customer inquiries through appropriate mediums. provides an excellent customer experience by ensuring that policy transactions are issued and changes are processed accurately and in a timely manner.• objectively validates information provided for new business, endorsements and renewal transactions within defined scope of discretion. develops effective working relationships with assigned agents groups. includes correspondence, phone calls and e-mail to gather and analyze necessary information critical to the underwriting function.• reviews and evaluates underwriting tools including real quest, dun and bradstreet, mvrs, websites, product guides, loss control reports, premium audits, iso loss costs, prior carrier loss runs and cost estimators to gain an understanding of the loss potential and appropriate price for the exposures presented.• processes and inputs all necessary policy transactions through appropriate company systems. key enters data or prepares worksheets as needed.• computes rates and premiums (including premium refunds) and selects the appropriate declarations, coverage forms, exclusions and optional coverage in order to complete a policy. prepares invoices, tracking and checking for account status and premium dollars in the commercial accounts and/or billing systems. computes commissions when necessary.• attains performance level standards as outlined in performance objectives.• continues to build personal skill set by participating in in-house or outside insurance/industry related courses/seminars as deemed necessary to expand product/system knowledge. stays current with relevant product(s).• understands and strives to support the organization’s overall strategy.• models farmers core values.• performs other duties as assigned."
13061,f,"at least 5 years of qa or software engineering related experience experience with oo programming languages, such as c++, java, or c. experience developing automated tests strong technical skills and understanding familiar with version control, such as perforce comfortable working in an agile testing environment excellent written and verbal communication skills bonus points: experience using testing tools such as google c++ mocking framework working knowledge of unity, unreal, or crytek python experience c++ experience additional information all your information will be kept confidential according to eeo guidelines maxplay and the technicolor ventures group are an eoe candidate must be eligible to work in the united states nw austin office location"
1505,f,"our system is built with php using a mvc framework - codeignitor. javascript, jquery, mysql should all be technologies that you are very comfortable and confident in. in addition, if you have experience with any of the following, please include note of it in your application: natural language parsing and interpreting especially related to equivalent terms and expressions database manipulation and optimization file parsing experience, namely word and pdf responsive web design cross-browser compatibility "
11327,f,"job requirements: you have at least 3 years’ experience in databases technologies, data warehouse modeling and etl. experience in data-mining is a plus you own an master degree in engineering or computer sciences you are fluent in english you are autonomous and outspoken you are pragmatic and have good analytical capabilities you are a quick learner you are flexible, ready to travel worldwide and spend half of your time abroad "
6223,f,- sales experience preferred or the right personality.- positive attitude and determined demeanor.- clean cut appearance.- pass background and drug test (no felonies or theft).- transportation a plus- bilingual a plus
3711,t,"position requirements: experience supporting and developing on a version of ca’s service management software including sdm, cmdb, itam, itpam, and capa – version 12 a plus oo design concepts java, c , vb.net, .net framework skills required microsoft reporting services business objects xi rdbms – sql server and oracle preferred xml – web services and soap a plus knowledge of itil and/or six sigma and sdlc strong interpersonal skills highly motivated and self-directed knowledge of data security strong written and oral communication skills proven analytical and problem-solving abilities experience migrating a problem/change management system from one version to another and/or to a new product. not required, but a plus. knowledge of other problem and change management systems is a plus (ie, hp, ibm, symantec, etc..) "
1420,t,nann
9389,f,"the most qualified candidates will possess a high school degree or equivalent, with a minimum 2 years' experience in medical office management, health care services or extensive experience in bookkeeping/accounting. this candidate will also have good problem solving and analytical abilities, as well as proficiency in verbal and written communication and have excellent customer service, organizational and interpersonal skills. candidate must be willing to start early in the morning, as work hours start at 5 am."
14535,f,"what you'll need: by submitting your application you understand thatqubit will store your data in accordance with local laws a background in consulting, tech, finance or similar, with strong analytical skills and attention to detail excellent knowledge of tableau desktop, and tableau server (preferred) experience working with complex data sets, manipulating and extracting data from databases and presenting it in an engaging manner the ability to build rapport and trust with our clients, and be comfortable presenting and explaining complex data to non technical audiences to be proactive in your approach to work ability to travel and the authorizationto work in the usa "
15779,f,"1/2 years experience within recruitment (in-house preferably) experience in high volume recruitment – preferable an understanding of recruitment techniques and competency assessments demonstrable ability to identify and match candidates skill sets to defined relevant positions ability to represent hgs as the first point of contact for new employees an understanding of outsourcing contact centres knowledge or experience of recruitment within a call centre – preferable a “can do!” attitude with a passion for exceeding challenging targets an effervescent personality with a zest for self development demonstrable experience of working to tight deadlines and multi-tasking confidence and professional in interaction with all levels of staff, management and client/s excellent communication and inter-personal skills professional in manner and appearance at all times articulate approach to work, detail conscious ability to handle multiple tasks, details and interruptions excellent administration skills excellent time management skills self motivated "
13703,f,nann
5444,t,"skills and specifications: * must have a passion and love for food* excellent communication skills both written and oral* public relations skills* excellent management and organizational skills* works well under pressure* good attention to detail experience: previous experience with control food and labor cost, demonstration cooking, menudevelopment, and pricing and development of culinary team preferred. premise andliability accountability and contract-managed service experience is desirable. education: the ideal candidates will possess a bachelor's degree or related culinary degreewith four or more years of industry and culinary management experience."
7465,t,nann
7480,t,nann
17816,t,"prior hospitality experience a plus computer proficiency required; proficient with msword, excel, powerpoint and outlook must be hospitality/service oriented hotel catering or banquet experience in sales is preferred minimum one year of work experience"
1529,f,"excellent proficiency in the following: semantic (x)html, table-less css (syntax and application), the parse tree/dom (and how css and js interacts with and affects it). familiarity with html5 preferred. working knowledge of php and javascript preferred. must understand how these technologies are used on the web and have a familiarity with programming ideals. bonus points for experience writing applications/functions in extjs or jquery (not just modifying existing plugins) experience building website templates(cutups) from layered design comps preferred and/or experience modifying them knowledge of browser differences/limitations and how to create cross-browser solutions. 1+ years experience working in a professional, team-oriented environment and/or experience working on commercial sites knowledge of content management systems and what they offer; experience building templates or editing content within them preferred. strong attention to detail and quality assurance required able to work on multiple projects and work to deadlines strong design aesthetic also a plus "
